 SR NO.,CUSTOMER NAME,MATERIAL TYPE,PART SIZE,CUSTOMER PART CODE,UOM,RECIVED QTY,DISPATCH QTY,BALANCE QTY,STOCK IN KG PER PIC,STOCK IN KG ,,
62,BAXY,VCI BAG,13 X 25 X 300,3N00000PB15,PCS,34182,24900,9282,0.003,27.846,ok,
63,BAXY,VCI BAG,14 X 28 X 300,,PCS,24590,13500,11090,0.0036,39.924,ok,
64,BAXY,VCI BLUE,7 X 30 X 300,,PCS,16495,7500,8995,0.019872,178.74864,,
65,BAXY,VCI BLUE PRINT,10 X 20 300,3N00000PB29,PCS,19000,,19000,0.019073,362.387,,
,BAXY,,650 X 900 X 300,,PCS,1025,500,525,,,,
66,BROTHERS PACKAGING,VCI YELLOW PRINT,10 X 12 X 400,,PCS,50970,50970,0,,,,
67,BROTHERS PACKAGING,VCI YELLOW PRINT,16 X 18.5 X 400,,PCS,116315,116315,0,,,,
68,beejapur,bio,8 x 10,,PCS,36180,,36180,0.0032,115.776,,
70,beejapur,bio,6 X 8,,PCS,135000,,135000,0.0018,243,,
71,beejapur,bio,9 X 12,,PCS,49000,,49000,0.0047,230.3,,
72,beejapur,bio,8 X 12,,PCS,12000,,12000,,,,
72,BHAGWAN AUTO,VCI BAG,5.5 X 6.5 55 MIC ( YELLOW),,PCS,390630,390630,0,0.002497,0,ok,
73,BHAGWAN AUTO,VCI BLUE PLAIN BAG,5.5 X 6.5 55 MIC ( BLUE),,PCS,625000,625000,0,0.002483,0,ok,
74,BHAGWAN AUTO,VCI BLUE PLAIN BAG,3 X 4 55 MIC,,PCS,259350,28000,231350,0.000838,193.8713,ok,
75,BHAGWAN AUTO,VCI BLUE PLAIN BAG,3.5 X 4.5 X 220,,PCS,149000,27000,122000,0.0011,134.2,ok,
76,BHAGWAN AUTO,VCI BAG BLUE PLAIN,3 X 8 220,,PCS,41000,41000,0,0.002,0,ok,
77,BHAGWAN AUTO,VCI BLUE PRINTED BAG,6.5 X 7.5 X 220,,PCS,98570,98570,0,0.003,0,ok,
78,BHAGWAN AUTO,VCI SHEET,350 X 250,1900 pcs. dump,PCS,0,0,0,0.009,0,ok,
79,BHAGWAN AUTO,VCI BLUE BAG,60 X 70 55 MIC,,PCS,441300,358500,82800,0.0063,521.64,ok,
80,BHAGWAN AUTO,VCI SHEET,450 X 450 X 220,,PCS,19550,19550,0,0.03044,0,ok,
81,BOSCH,VCI BAG,170 X 350 80 MIC,6000.153.676,PCS,13820,,13820,0.009633,133.12806,,
82,BOSCH,VCI BAG GREEN,302 X 402 52 MIC,6000.803.322,PCS,6665,6665,0,0.0012,0,,
83,BOSCH,VCI GREEN,302 X 402 X 320,,PCS,67175,20000,47175,,,,
84,BOSCH,VCI BAG,120 X 190,,PCS,5210,,5210,0.002,10.42,,
85,BOSCH,VCI BAG,80 X 250,,PCS,8535,,8535,0.002,17.07,,
86,BOSCH,VCI BAG,135 X 280 X 320,,PCS,46450,44600,1850,0.006,11.1,,
87,BOSCH,VCI BAG,150 X 380,,PCS,, ,,0.009,0,,
