 SR NO.,CUSTOMER NAME,MATERIAL TYPE,PART SIZE,CUSTOMER PART CODE,UOM,RECIVED QTY,DISPATCH QTY,BALANCE QTY,STOCK IN KG PER PIC,STOCK IN KG ,,
257,HONDA,LD BAG,150 X 230,,KGS,138.4,,138.4,1,138.4,,
258,HONDA,VCI BLUE PRINT,250 X 290,,PCS,4350,,4350,0.01,43.5,,
259,HONDA,VCI SHEET,550 X 800,,PCS,5400,5400,0,0.0062,0,,
260,HONDA,LD BAG,65 X 140,,PCS,5660,5660,0,0.002,0,,
261,HONDA,LD BAG,420 X 455 60 MIC,,KGS,555.14,555.14,0,1,0,,
262,HONDA,LD BAG,450 X 1000 X 240,,KGS,752.48,752.48,0,1,0,,
263,HONDA,LD PRINTED BAG,710 X 1000 60 MIC,,KGS,444,,444,1,444,,
264,HONDA,LD BAG,230 X 750 X 240,,KGS,35,,35,1,35,,
265,HONDA,LD BAG,450 X 640 X 240,,KGS,586.16,586.16,0,1,0,,
266,HONDA,LD BAG,450 X 650 X 240,,KGS,58.7,58.7,0,1,0,,
267,HONDA,LD PRINTED BAG,680 X 750 X 240,,KGS,33,,33,1,33,,
268,HONDA,VCI BAG,250 X 340 75 MIC,5000000057,PCS,15700,,15700,0.012,188.4,,
269,HONDA,LD BAG,500 X 700 60 MIC,,KGS,80,,80,,0,,
270,HONDA,ROLL,300 MM,,KGS,1626.6,1076.4,550.2,1,550.2,,
271,HONDA,LD SHEET,450 X 800 75 MIC,,KGS,2329.6,1969,360.6,1,360.6,,
272,HONDA,LD NATURAL PRINTED SHEET,450 X 450 80 MIC,,KGS,769.7,163,606.7,1,606.7,,
273,HONDA,LD PRINTED SHEET,360 X 390 75 MIC,,KGS,1195.14,980.16,214.98,1,214.98,,
274,HONDA,LD SHEET,500 X 600 75 MIC,,KGS,265.64,,265.64,1,265.64,,
275,HONDA,ROLL,200 MM,,KGS,1077.1,906,171.1,1,171.1,,
276,HONDA,LD BAG,150 X 340 X 320,,KGS,94,,94,1,94,,
277,HONDA,LD BAG,170 X 600 X 320,,KGS,43.66,43.66,0,1,0,,
278,HONDA,LD PRINTED BAG,260 X 420 X 320,,KGS,1862.24,1633.1,229.14,1,229.14,,
279,HONDA,LD BAG,300 X 300 X 320,,KGS,80.26,80.26,0,1,0,,
280,HONDA,LD NATURAL PRINTED BAG,300 X 840 X 320,,KGS,377.2,,377.2,1,377.2,,
281,HONDA,LD PRINTED BAG,710 X 1000 X 320,,KGS,274.18,129,145.18,1,145.18,,
282,HONDA,LD PRINTED SHEET,650 X 820 X 320,,KGS,600.74,600.74,0,1,0,,
283,HONDA,LD BAG,100 X 920 80 MIC,,KGS,51,,51,1,51,,
284,HONDA,LD PRINTED BAG,130 X 170 80 MIC,,KGS,735.84,735.84,0,1,0,,
285,HONDA,LD PRINTED BAG,280 X 500 80 MIC,,KGS,528.56,528.56,0,1,0,,
286,HONDA,LD NATURAL PRINTED SHEET,190 X 260 X 320,,KGS,858.62,858.62,0,1,0,,
287,HONDA,TUBE ,3 x 280,,KGS,0,0,0,1,0,,
288,HONDA,TUBE ,4 X 280,,KGS,0,0,0,1,0,,
289,HONDA,TUBE ,8.5 X 300,,KGS,155.66,155.66,0,1,0,,
290,HONDA,TUBE ,6 X 280,,KGS,0,0,0,1,0,,
291,HONDA,LD BAG,200 X 440  320,,KGS,206,,206,1,206,,
292,HONDA,LD BAG,170 X 650 320,,KGS,131,,131,1,131,,
293,HONDA  OLD STOCK,LD BAG,5 X 7,,KGS,319.02,319.02,0,1,0,,
294,INDIA YAMAHA,VCI SHEET,700 X 1400,,PCS,500,500,0,0.0138,0,,
295,INDIA YAMAHA,VCI BAG,290 X 330 X 300,N5900095000000,PCS,2530,,2530,0.013,32.89,,
296,INDIA YAMAHA,VCI SHEET,700 X 700 X 300,N9206004000000,PCS,3194,,3194,0.039466,126.054404,,
297,INDIA YAMAHA,VCI BAG,250 X 250,N9204006000000,PCS,215797,215797,0,0.010367,0,,
298,INDIA YAMAHA,VCI BLUE PRINT BAG,250 X 400,N9204007000000,PCS,800,,800,0.0167,13.36,425.6,
299,INDIA YAMAHA,VCI BAG,20 X 20,N9202356000000,PCS,5850,5850,0,0.042,0,,
300,INDIA YAMAHA,VCI BAG,125 X 100 X 240,N5900220000000,PCS,302605,302605,0,0.001596,0,,
301,INDIA YAMAHA,VCI BAG,150 X 200,N9204004000000,PCS,95000,95000,0,0.00511,0,,
302,INDIA YAMAHA,VCI BAG,150 X 225,N5900009400000,PCS,3000,,3000,0.004,12,,
303,INDIA YAMAHA,VCI BAG,100 X 150,N9204003000000,PCS,57600,57600,0,0.0025,0,,
304,INDIA YAMAHA,VCI SHEET,1000 X 1200,N9207002000000,PCS,8909,8499,410,0.0955,39.155,,
305,INDIA YAMAHA,VCI BAG,240 X 100,N5900221000000,PCS,3025,,3025,0.003,9.075,,
306,INDIA YAMAHA,VCI BAG,125 X 150,N5900009300000,PCS,209460,209460,0,0.002417,0,,
307,INDIA YAMAHA,VCI BAG,100 X 280,N5900824000000,PCS,187440,187440,0,0.0036,0,,
308,INDIA YAMAHA,VCI BAG,300 X 500,N9205001000000,PCS,109969,109969,0,0.0248,0,,
309,INDIA YAMAHA,VCI BAG,100 X 430,N5900083000000,PCS,1900,,1900,0.006,11.4,,
310,INDIA YAMAHA,VCI BAG,750 X 800,N9205009000000,PCS,8935,8935,0,0.0949,0,374,
311,INDIA YAMAHA,VCI BAG,240 X 265 60 MIC,N5900825000000,PCS,168175,168175,0,0.0078,0,,
312,INDIA YAMAHA,VCI BAG,200 X 250 X 240,N5900827000000,PCS,84145,84145,0,0.0064,0,,
313,INDIA YAMAHA,VCI BAG,500 X 500,,PCS,14000,14000,0,0.012,0,,
314,INDITECH,LD BAG,155 X 390 150 MIC,,KGS,0,,0,1,0,,
315,INDITECH,LD BAG,115 X 280 150 MIC,,KGS,312.78,312.78,0,1,0,,
316,INDITECH,LD BAG,130 X 370 150 MIC,,KGS,172.9,172.9,0,1,0,,
317,INDITECH,LD BAG,230 X 585 150 MIC,,KGS,0,,0,1,0,,
318,INDITECH,LD BAG,90 X 280 150 MIC,,KGS,0,,0,1,0,,
319,INDITECH,LD BAG,155 x 470 x 600,,KGS,149.5,149.5,0,,0,,
,INDITECH,LD BAG,200 X 455 X 150,,KGS,189.7,189.7,0,,,,
,INDITECH,LD BAG,235 X 455 X 150,,KGS,166.5,166.5,0,,,,
320,INTERNATIONAL,VCI BAG SOLIS,6.5 X 9 100 MIC,,KGS,52.8,52.8,0,1,0,,
321,INTERNATIONAL,VCI BAG SOLIS,20 X 27 100 MIC,,KGS,7.9,7.9,0,1,0,,
322,INTERNATIONAL,VCI BAG SOLIS,4.5 X 5.5 100 MIC,  ,KGS,0,0,0,1,0,,
323,INTERNATIONAL,VCI BAG SOLIS,5.5 X 6.5,,KGS,14.2,14.2,0,1,0,,
324,INTERNATIONAL,LD BAG SOLIS,10 X 12,,KGS,9.4,9.4,0,1,0,,
325,INTERNATIONAL,VCI BAG SOLIS,8.5 X 10,,KGS,0,0,0,1,0,,
326,INTERNATIONAL,VCI BAG SOLIS,14 X 16 X 100 MIC,,KGS,0,0,0,1,0,,
327,INTERNATIONAL,VCI ROLL SOLIS,6.5 X 400,,KGS,52.2,52.2,0,1,0,,
328,INTERNATIONAL,VCI BAG SONALIKA,12 X 14 100 MIC,9810300038,KGS,99,99,0,1,0,,
329,INTERNATIONAL,VCI BAG SONALIKA,5.5 X 6 100  MIC,,PCS,4000,4000,0,1,0,,
330,INTERNATIONAL,LD AB BAG SONALIKA,5.5 X 6 100  MIC,9810300038,KGS,28000,28000,0,1,0,,
331,INTERNATIONAL,VCI BAG SONALIKA,20 X 27 100 MIC,,KGS,38.6,38.6,0,1,0,,
332,INTERNATIONAL,VCI BAG SONALIKA,10 X 12 ,,PCS,19000,,19000,1,19000,,
333,INTERNATIONAL,VCI BAG SONALIKA,8.5 X 10 100 MIC,9810300038,KGS,16,16,0,1,0,,
334,INTERNATIONAL,VCI BAG SONALIKA,16 X 20,,KGS,25.5,25.5,0,1,0,,
335,INTERNATIONAL,VCI BAG SONALIKA,14 X 16 100 MIC,9810300038,KGS,50.9,50.9,0,1,0,,
336,INTERNATIONAL,LD BAG SONALIKA,8 X 12 75 MIC,,PCS,0,0,0,0.009,0,,
337,INTERNATIONAL,LD BAG SONALIKA,4.5 X 5,,PCS,104900,52400,52500,0.0004,21,,
338,INTERNATIONAL,VCI BAG SONALIKA,4.5 X 5,,PCS,129000,105000,24000,1,24000,118.4,
339,INTERNATIONAL,VCI AB BAG SONALIKA,5.5 X 5 70 MIC,,PCS,7500,0,7500,0.004,30,,
340,INTERNATIONAL,LD BAG SONALIKA,10 X 12,,PCS,20000,,20000,0.0018,36,,
341,INTERNATIONAL,LD BAG SONALIKA,7 X 9 75 MIC,,PCS,38000,16000,22000,0.007422,163.284,,
342,INTERNATIONAL,VCI BAG SONALIKA,7 X 9,,PCS,52800,40000,12800,0.0071,90.88,,
343,INTERNATIONAL,LD BAG SONALIKA,140 X 165 X 300,,PCS,132000,132000,0,0.003896,0,,
344,INTERNATIONAL,VCI BAG SONALIKA,140 X 165 X 300,,PCS,180000,152000,28000,,0,,
345,INTERNATIONAL,LD BAG SONALIKA,140 X 160,,PCS,0,,0,0.003875,0,,
346,INTERNATIONAL,VCI BAG SONALIKA,140 X 160 X 300,,PCS,0,,0,,0,,
348,INTERNATIONAL,LD BAG SONALIKA,4 X 5 ,,PCS,9000,,9000,0.002463,22.167,,
349,INTERNATIONAL,VCI BAG SONALIKA,4.5 X 5 X 300,,PCS,,,0,0.007,0,,
350,JAI PARVATI,VCI BAG,7 X 24 X 100,,KGS,190.6,40,150.6,1,150.6,ok,
351,JAI PARVATI,VCI BAG,7 X 24 X 75,,KGS,137,,137,1,137,,
352,JAI PARVATI,VCI BAG,9 X 36 X 100,,KGS,32.4,,32.4,1,32.4,ok,
353,JAI PARVATI,VCI BAG,9 X 36 X 120,,KGS,985.5,950.4,35.1,,,,
354,JAI PARVATI,VCI BAG BLUE ,8 X 8 X 120,,KGS,65.1,65.1,0,1,0,ok,
355,JAI PARVATI,VCI BAG,9 X 20 X 120,,KGS,601.8,352,249.8,1,249.8,ok,
356,JAI PARVATI,VCI BAG,9 X 20 X 75,,KGS,391.55,366.55,25,1,25,,
357,JAI PARVATI,VCI BAG,7 X 20 X120,,KGS,1124.2,807.2,317,1,317,ok,
358,JAI PARVATI,VCI BAG,7 X 24 X 120,,KGS,1853.6,1581.7,271.9,1,271.9,ok,
359,JAI PARVATI,VCI BAG,7 X 20 X 100,,KGS,80.1,59.5,20.6,,,,
360,JAI PARVATI,VCI BAG,7 X 20 X 75,,KGS,135.4,70.2,65.2,,,,
361,JAI PARVATI,VCI BAG,12 X 24 X 120,,KGS,106.7,106.7,0,1,0,ok,
,JAI PARVATI,VCI BAG,12 X 24 X 400,,KGS,24.9,,24.9,,,,
362,JAI PARVATI,VCI BAG,7 X 14 X 120,,KGS,267,,267,,,,
,JAI PARVATI,VCI BAG,7 X 14 X 100,,KGS,31,,31,,,,
,JAI PARVATI,VCI BAG,9 X 24 X 75,,KGS,128.4,,128.4,,,,
363,JAI PARVATI,VCI BAG,9 X 24 X 100,,KGS,734.8,589.6,145.2,1,145.2,ok,
364,JAI PARVATI,VCI BAG,9 X 24 X 120,,KGS,970.9,604.2,366.7,1,366.7,,
,JAI PARVATI,VCI BAG,14 X 18 X 75,,KGS,204.1,,204.1,,,,
365,JAI PARVATI,VCI BAG,14 X 18 X 100,,KGS,170.6,0,170.6,1,170.6,ok,
366,JAI PARVATI,VCI BLUE PRINT BAG,12 X 12 X 100,,KGS,78,,78,1,78,ok,
367,JAI PARVATI,VCI BAG,14 X 18 X 120,,KGS,1041.4,1041.4,0,1,0,ok,
368,JAI PARVATI,VCI BLUE PRINT BAG,12 X 12 X 120,,KGS,953.9,673.9,280,1,280,,
,JAI PARVATI,VCI BLUE PRINT BAG,12 X 12 X 300,,KGS,108,,108,,,,
369,JAI PARVATI,VCI BAG,18 X 24 X 100,,KGS,865,788.1,76.9,1,76.9,ok,
,JAI PARVATI,VCI BAG,12 X 18 X 75,,KGS,70.9,,70.9,,,,
370,JAI PARVATI,VCI BAG,12 X 18 X 100 ,,KGS,940.1,831.9,108.2,1,108.2,ok,
371,JAI PARVATI,VCI BLUE PRINT BAG,12 X 18 X 120,,KGS,295,,295,1,295,,
372,JAI PARVATI,VCI BAG,12 X 24 X 75,,KGS,60.6,,60.6,1,60.6,ok,
373,JAI PARVATI,VCI BAG,18 X 22 X 120,,KGS,1049,1039.9,9.1,1,9.1,ok,
374,JAI PARVATI,VCI BAG,18 X 22 X 75,,KGS,52.3,26,26.3,,,,
375,JAI PARVATI,VCI BAG,9 X 36 X 75,,KGS,71.3,,71.3,1,71.3,ok,
376,JAI PARVATI,VCI BAG,10 X 10 X 100,,KGS,1056.2,1026.8,29.4,1,29.4,ok,
,JAI PARVATI,VCI BLUE PRINT BAG,10 X 10 X 480,,KGS,481.4,297.9,183.5,,,,
377,jaquar,zip lock bag (LOCK POUCH),138 x 156,,PCS,111700,111700,0,0.005,0,,
378,JBM,VCI BAG,300 X 650 X 100,26 kg dump,PCS,950,950,0,0.03664,0,ok,
379,JCB,LD BAG,15 X 24,,KGS,0,0,0,1,0,,
380,JCB,LD BAG,18 X 30,I_DIR_PRI_POLY_023,KGS,1947.9,963.4,984.5,1,984.5,,
381,JCB,LD BAG b/R,12 x 24,,KGS,1464.5,1449.5,15,1,15,,
382,JCB,LD BAG b/R,15 X 21,,KGS,2298.1,1749.6,548.5,1,548.5,,
383,JCB,LD BAG B/R,12 X 15,I_DIR_PRI_POLY_021,KGS,216,216,0,1,0,,
384,JCB,LD BAG BR,12 X 21,I_DIR_PRI_POLY_022,KGS,375,351,24,1,24,,
385,JCB,LD BAG ,790 X 1070 X 480,,PCS,567,,567,0.01861,10.55187,,
386,JCB,CUTTING,8 X 10 120 MIC,,PCS,335925,316175,19750,0.0124,244.9,,
387,JCB,LD BAG B/R,8 X 10 120 MIC,,KGS,1097.5,886.7,210.8,,,,
388,JCB,CUTTING,12 X 15,,PCS,21636,21636,0,0.0032,0,,
390,JCB,LD BAG,230 X 320,,PCS,1980,,1980,0.005,9.9,,
391,JCB,LD BAG A/B,6 X 8 120 MIC,B_CON_PACK_GEN_176,PCS,164000,16000,148000,0.0008,118.4,,
392,JCB,LD BAG B/R,6 X 8 120 MIC,I_DIR_PRI_POLY_030,KGS,748.6,748.6,0,1,0,,
393,JCB,CUTTING,6 X 8 120 MIC,,PCS,18640,,18640,0.007492,139.65088,,
394,JCB,LD BAG B/R,3 x 5,I_DIR_PRI_POLY_028,KGS,88.2,88.2,0,1,0,,
395,JCB,LD BAG A/B,5 x 5,B_CON_PACK_GEN_175,PCS,146000,51000,95000,0.0047,446.5,,
396,JCB,LD BAG B/R,5 X 5,I_DIR_PRI_POLY_029,KGS,2347.6,2134.4,213.2,1,213.2,,
397,JCB,CUTTING,5 X 5,,PCS,193470,191200,2270,0.0047,10.669,,
398,JCB,LD BAG A/B,4 X 5,,PCS,80800,56800,24000,0.0016,38.4,,
399,JCB,LD BAG A/B,12 x 15,B_CON_PACK_GEN_179,PCS,1018,,1018,0.0032,3.2576,,
400,JCB,LD BAG A/B,10 x 12,B_CON_PACK_GEN_178,PCS,29000,20000,9000,0.0215,193.5,,
401,JCB,LD BAG A/B,8 x 10 120 MIC,B_CON_PACK_GEN_177,PCS,30500,,30500,0.00144,43.92,,
402,JCB,B/R,10 X 12,I_DIR_PRI_POLY_020,KGS,620.4,620.4,0,1,0,,
403,JCB,LD CUTTING,10 X 12,,PCS,4250,,4250,0.0188,79.9,,
404,JCB,LD CUTTING,3 X 5 120 MIC,,PCS,42650,,42650,0.0025,106.625,,
405,JCB,LD BAG A/B,3 x 5,B_CON_PACK_GEN_174,PCS,717000,651000,66000,0.00308,203.28,,
407,JCB,LD ROLL,"5"" R",I_DIR_PRI_POLY_025,KGS,144,,144,1,144,,
408,JCB,LD ROLL,"8""",I_DIR_PRI_POLY_025,KGS,48,48,0,1,0,,
409,JCB,LD ROLL,"3"" R",,KGS,255,,255,1,255,,
410,JCB,LD BAG,18 X 24 X 480,I_IND_PRI_VCIP_003,PCS,2500,2500,0,0.238,0,,
411,JCB,CUTTING,18 X 20 120 MIC,,PCS,0,,0,0.053367,0,,
412,JCB,VCI BAG,18 X 20,,PCS,10200,10200,0,0.03491,0,,
413,JCB,LD BAG,42 X 42 X 52,I_DIR_PRI_POLY_018,KGS,980,980,0,1,0,,
414,JCB,LD BAG,13 X 30,,KGS,554.1,554.1,0,,,,
415,JINDLE,LD BAG,18 X 18,,KGS,2684.32,2684.32,0,1,0,,
416,JINDLE,LD BAG,7 X 12,,KGS,0,0,0,1,0,,
417,KAI,LD BAG,60 X 200,25.5 kg. DUMP,PCS,63200,0,63200,0.0008,50.56,,
418,KAI,LD BAG,60 X 280,DEHA-00003,PCS,7600,0,7600,0.009,68.4,,
419,KAI,LD BAG,60 X 402,DEHA-00005,PCS,7000,,7000,0.007,49,,
420,KAPOOR,,27 X 40 X 208,,KGS,359.9,58,301.9,,,,
421,LG BALA,SUZUKI,8.6 X 9 300,18050LDPE00001,KGS,493.7,,493.7,1,493.7,,
422,LGBFO,VCI BAG,150 X 300 X 100,,PCS,0,0,0,0.0845,0,,
423,LUMAX,,4 x 6,,KGS,0,0,0,1,0,,
424,LUMAX,,5 x 15,,KGS,0,0,0,1,0,,
425,MAHAJAN,LD BAG,7 X 14,,KGS,289.36,,289.36,1,289.36,,
426,MAHAJAN,LD BAG,8 X 13,DUMP,KGS,200.9,,200.9,,,,
427,MAHELE,VCI BAG,210 X 160 X 212,79960263,KGS,1302.22,800,502.22,,0,,
428,MAHELE,VCI BAG,160 X 185 X 210,,KGS,149.3,114.2,35.1,,0,,
429,MAHINDRA,VCI BAG,7 X 10 75 MIC,,KGS,25.5,,25.5,1,25.5,,
430,MAHINDRA,VCI BAG,19 X 21,,KGS,32.4,32.4,0,1,0,,
431,MAHINDRA,VCI BAG,24 X 8.5 X 8.5 X 30 75 MIC,,PCS,800,,800,0.112,89.6,,
432,MAHINDRA,VCI BAG,20 X 8 X 8 X 23,,KGS,154.9,,154.9,,,,
433,MAHINDRA,VCI BAG,25 X 22.5 X 40,,PCS,220,220,0,0.00364,0,,
434,MAHINDRA,VCI BAG,14 X 16 120 MIC,,KGS,0,0,0,1,0,,
435,MAHINDRA,VCI BAG YELLOW,15 X 16 75 MIC,,KGS,0,0,0,1,0,,
436,MAHINDRA,VCI BAG YELLOW,12 X 15 75 MIC,,KGS,459.9,459.9,0,1,0,,
437,MAHINDRA,VCI BAG YELLOW,14 X 16 75 MIC,VCIBAG01,KGS,740.6,557.2,183.4,1,183.4,,
438,MAHINDRA,VCI BAG,260 X 550 120 MIC,,KGS,0,0,0,1,0,,
439,MAHINDRA,VCI BAG,915 X 685 X 1422,PACKING07,KGS,200,200,0,1,0,,
440,MAHINDRA,VCI BAG,7 X 9 75 MIC,,KGS,213.8,,213.8,1,213.8,,
441,MAHINDRA,VCI BAG,7 X 26 75 MIC,,KGS,172.4,,172.4,1,172.4,,
442,MAHINDRA,VCI BAG,6 X 12 75 MIC,,KGS,111,,111,1,111,,
443,MAHINDRA,VCI BAG,6 X 12 120 MIC,,KGS,106.5,106.5,,,,,
444,MAHINDRA,VCI BAG,12 X 13 75 MIC,,KGS,45.9,15.2,30.7,1,30.7,,
445,MAHINDRA,VCI YELLOW,3 X 5 X 300,,KGS,154.8,,154.8,1,154.8,,
446,MAHINDRA,VCI BAG,4 X 6 75 MIC,VCIBAG01,KGS,473,472.7,0.3,1,0.3,,
447,MAHINDRA,VCI BAG,5 X 32 75 MIC,VCIBAG01,KGS,228.4,228.4,0,1,0,,
448,MAHINDRA,VCI BAG,18 X 38,,KGS,0,0,0,1,0,,
449,MAHINDRA,VCI YELLOW,8 X 12 75 MIC,,KGS,286.1,150.7,135.4,1,135.4,,
450,MAHINDRA,VCI YELLOW,8 X 10 75 MIC,VCIBAG01,KGS,613.9,515.6,98.3,1,98.3,,
451,MAHINDRA,VCI YELLOW,9 X 12 75 MIC,,KGS,0,0,0,1,0,,
452,MAHINDRA,VCI YELLOW BAG,18 X 21 75 MIC,VCIBAG01,KGS,622.8,622.8,0,1,0,,
453,MAHINDRA,VCI BAG,15 X 22 75 MIC,,KGS,167.4,167.4,0,1,0,,
454,MAHINDRA,VCI BAG,8.5 X 12 75 MIC,VCIBAG01,KGS,356.5,356.5,0,1,0,,
455,MAHINDRA,VCI BAG,8 X 8 75 MIC,,KGS,210,,210,1,210,,
456,MAHINDRA,VCI BAG,6 X 30 X 300,,KGS,311.1,311.1,0,1,0,,
457,MAHINDRA,VCI BAG,9 X 14 X 75 MIC,,KGS,31.7,,31.7,0.013,0.4121,,
458,MAHINDRA,VCI BAG,260 X 260  120 MIC,,KGS,0,0,0,1,0,,
459,MAHINDRA,VCI BAG,260 X 170,,KGS,0,0,0,1,0,,
460,MAHINDRA,VCI BAG,260 X 370,,KGS,0,0,0,1,0,,
461,MAHINDRA,VCI YELLOW BAG,400 X 700 120,,KGS,485.6,485.6,0,1,0,,
462,MAHINDRA,VCI BAG YELLOW ,6 X 6 75 MIC,VCIBAG01,KGS,640.4,635.2,5.2,1,5.2,130,
463,MAHINDRA,VCI BAG YELLOW ,6 X 6 120 MIC,,PCS,38740,38740,0,,,,
464,MAHINDRA,VCI BAG,150 X 150,,KGS,0,0,0,1,0,,
465,MAHINDRA,VCI BAG YELLOW PRINTED,4 X 7,VCIBAG01,KGS,0,0,0,1,0,,
466,MAHINDRA,VCI BAG YELLOW PRINTED,3 X 6 75 MIC,VCIBAG01,KGS,803,483.6,319.4,1,319.4,134.3,
467,MAHINDRA,VCI BAG YELLOW PRINTED,3 X 15 75 MIC,,KGS,51.8,,51.8,1,51.8,,
468,MAHINDRA,VCI BAG YELLOW PRINTED,5 X 8,VCIBAG01,KGS,96.2,96.2,0,1,0,,
469,MAHINDRA,VCI BAG YELLOW PRINTED,3 X 32 75 MIC,,KGS,29.1,,29.1,1,29.1,,
470,MAHINDRA,VCI BAG,125 X 150,MTBLVCIBAG11,KGS,346.9,346.9,0,1,0,,
471,MAHINDRA,VCI YELLOW,30 X 32  300,,KGS,0,0,0,1,0,,
472,MAHINDRA,VCI YELLOW,5 X 9 300,,KGS,338.4,338.4,0,,0,,
473,MAHINDRA,VCI YELLOW,4 X 8 300,,KGS,190.5,142.8,47.7,,,,
474,MAHINDRA,VCI YELLOW,15 X 27,,KGS,110.8,110.8,0,,,,
475,MALTI,VCI BAG YELLOW,14 X 16 75 MIC,,PCS,1240,1240,0,0.0164,0,,
476,MALTI,VCI BAG YELLOW,16 X 20 75 MIC,,PCS,10780,5625,5155,0.031,159.805,,
477,MANISH AUTO,VCI BLUE PLAIN,900 X 1200 75 MIC,,PCS,0,0,0,0.076914,0,,
478,MARELI,LD BAG,220 X 260 X 480,,KGS,1572.36,1524.36,48,1,48,,
479,MARELI,LD BAG NATURAL PRINTED,320 X 550 X 480,46_ASY01_PW_002870,KGS,4554.04,4199.44,354.6,1,354.6,,
480,MARELI,LD BAG NATURAL PRINTED,320 X 350 X 480,46_ASY01_PW_002871,KGS,2229.64,1527,702.64,,0,,
,MARELI,LD NAT PRINT,400 X 400 X 480,,PCS,15695,,15695,,,,
481,MARELI,LD GREEN,270 X 360 X 480,,PCS,19275,18625,650,,,,
482,MARELI,LD GREEN,160 X 350 X 480,,PCS,3670,3670,0,,,,
483,MARUTI,VCI BAG,700 X 1400,,PCS,1000,,1000,0.0116,11.6,,
484,MARUTI,VCI BAG,700 X 700,,PCS,1850,,1850,0.0058,10.73,,
485,MARUTI,LD sheet,1400 X 1400,,PCS,3500,,3500,0.0232,81.2,,
486,MARUTI,LD BAG,450 X 600 52 MIC,,PCS,770,,770,1,770,,
487,MARUTI,LD BAG,180 X 300 52 MIC,,KGS,68.8,68.8,0,1,0,,
488,MARUTI,LD BAG,180 X 300 52 MIC,M725101A100,PCS,21500,0,21500,0.00528,113.52,,
489,MARUTI,VCI BAG,130 X 180 80 MIC,M72510009Q3,PCS,33085,,33085,0.003842,127.11257,,
490,MARUTI,VCI BAG,300 X 350 80 MIC,M72510009R3,PCS,19550,,19550,0.0021,41.055,,
491,MARUTI,VCI BAG,150 X 200 80 MIC,M72510009P3,PCS,34320,5000,29320,0.005263,154.31116,,
492,MARUTI,VCI SHEET,510 X 510 X 320,,PCS,13500,13500,0,0.020023,0,,
493,MITA,VCI BAG,34 X 45,,PCS,6340,3800,2540,0.0148,37.592,ok,
493,MITA,LD BAG,10 X 12,,PCS,2270,,2270,,,,
493,MITA,LD BAG,7 X 10,,PCS,5000,5000,0,,,,
493,MINDA,LD ROLL,380 X 225,,KGS,1095,1095,0,,,,
493,MINDA,LD ROLL,380 X 215,,KGS,542,542,0,,,,
493,MINDA,LD ROLL,180 X 180,,KGS,587.9,587.9,0,,,,
493,MINDA,LD ROLL,200 x 150,,KGS,1085.3,1085.3,0,,,,
494,MOTHERSON,LD BAG,9.5 X 27 X 204,,KGS,0,0,0,1,0,,
495,MOTHERSON,"LD NAT",5 x 27 204,,KGS,0,0,0,1,0,,
,MOTHERSON,LD PRINT,8 X 18 X 208,,KGS,58.4,58.4,0,,,,
,MOTHERSON,LD PRINT,8 X 21 X 208,,KGS,58,58,0,,,,
496,MOTIF,VCI BAG YELLOW,16 X 18 55 MIC,,PCS,0,0,0,0.0202,0,ok,
497,MOTIF,VCI BAG YELLOW,22 X 24 55 MIC,,PCS,0,0,0,0.037,0,ok,
498,MOTIF,VCI BAG YELLOW,6 X 8 55 MIC,,PCS,53600,53600,0,0.00345,0,ok,
499,MOTIF,VCI BAG YELLOW,8 X 9 55 MIC,,PCS,103050,103050,0,0.00511,0,ok,
500,MITSUBISHI,BUTTON,,,PCS,10000,10000,0,,,,
501,NBC,LAMINATE ROLL, 100 mm,466.193,KGS,38,38,0,1,0,ok,
502,NBC,LAMINATE ROLL,160mm,4632739,KGS,417.3,417.3,0,1,0,,
503,NBC,LAMINATE ROLL,120mm,4639406,KGS,498.2,498.2,0,1,0,,
504,NBC,LAMINATE ROLL,240mm,4637407,KGS,451.1,451.1,0,1,0,,
505,NBC,LAMINATE ROLL,330mm,4640169,KGS,331.6,331.6,0,1,0,,
506,NBC,LAMINATE ROLL,220mm,4637406,KGS,530.4,530.4,0,1,0,,
507,NBC,LAMINATE ROLL,270mm,4640167,KGS,420.3,420.3,0,1,0,,
508,NBC,LAMINATE ROLL,300mm,,KGS,0,0,0,1,0,,
509,NBC,LAMINATE ROLL,200mm,4632742,KGS,459.2,459.2,0,1,0,,
510,NBC,LAMINATE ROLL,180mm,4632740,KGS,514.6,514.6,0,1,0,,
511,NBC,LAMINATE ROLL,140mm,,KGS,524.1,524.1,0,1,0,,
512,NBC,LAMINATE ROLL,360mm,4640170,KGS,388.5,388.5,0,1,0,,
513,NBC,VCI BAG,12 X 12 75 MIC,,PCS,185.1,185.1,0,0.01309,0,,
514,NBC,LAMINATED Pouch,210 X 210,,KGS,120,120,0,1,0,,
515,NBC,LAMINATED Pouch,180 X 180,,KGS,91.2,91.2,0,1,0,,
516,NBC,Pouch,250 X 250,,PCS,19850,19850,0,0.00881,0,,
,NBC,VCI BLUE PRINTED   ,360 X 135 X 135 X 420 X 320 ,,KGS,607.2,607.2,0,,,,
517,NBC,L.D.PRINTED BAG,360 X 135 X 135 X 410 MM,,KGS,2696.1,2696.1,0,1,0,,
518,NBC,L.D.PRINTED BAG,360 X 135 X 135 X 400 MM,4667211,KGS,7027.4,7027.4,0,1,0,,
