ITEMCODE,ITEMNAME,IT_PARTNO,IT_PARTNAME,UOM
IC-1.RB.RB.000105,Corrugated Box - Benz - Printed/14    x 14   x  10 INCH,,Corrugated Box - Benz - Printed,PCS
IC-1.RB.RB.000106,Corrugated Box - Benz - Printed/14   x  10   x  15 INCH,,Corrugated Box - Benz - Printed,PCS
IC-1.RB.RB.000107,Corrugated Box - Brake Shoe  - Printed/110 x 50 x 65 MM,,Corrugated Box - Brake Shoe  - Printed,PCS
IC-1.RB.RB.000108,Corrugated Box - Brake Shoe  - Printed/135 x  65 x 80 MM,,Corrugated Box - Brake Shoe  - Printed,PCS
IC-1.RB.RB.000109,Corrugated Box - Chain Set  - Printed/8     x  8   x  1.75 MM,,Corrugated Box - Chain Set  - Printed,PCS
IC-1.RB.RB.000110,Corrugated Box - Printed/15    x  15  x 18  INCH,,Corrugated Box - Printed,PCS
IC-1.RB.RB.000111,Corrugated Box - Relay  - Printed/50   x 110 x 110 MM,,Corrugated Box - Relay  - Printed,PCS
IC-1.RB.RB.000112,Corrugated Box - Relay - Printed/20   x 25  x 45  MM,,Corrugated Box - Relay - Printed,PCS
IC-1.ORF.CCFG.000113,ALLIECB/CORRUGATED BOX,ALLIECB,CORRUGATED BOX,PCS
IC-1.ORF.CCFG.000114,ASKAUCB110/CORRUGATED BOX/110 X 50 X 65 mm,ASKAUCB110,CORRUGATED BOX,PCS
IC-1.ORF.CCFG.000115,ASKAUCB111/CORRUGATED BOX/135 X 65 X 80 mm,ASKAUCB111,CORRUGATED BOX,PCS
IC-1.ORF.CCFG.000116,"BUSCHCB161/CORRUGATED BOX/1610X715X950MM, 5 PLY",BUSCHCB161,CORRUGATED BOX,PCS
IC-1.ORF.CCFG.000117,CAPARCB119/CORRUGATED BOX/1190 X 990 X 850 MM,CAPARCB119,CORRUGATED BOX,PCS
IC-1.ORF.CCFG.000118,CAPARCB380/CORRUGATED BOX/380 X 600,CAPARCB380,CORRUGATED BOX,PCS
IC-1.ORF.CCFG.000119,DAIDOCB175/CORRUGATED BOX/Size :- 8 X 8 X 1.75,DAIDOCB175,CORRUGATED BOX,PCS
IC-1.ORF.CCFG.000120,HGIAUCB/CORRUGATED BOX With Wooden Pallet /YOKE KIT PALLET,HGIAUCB,CORRUGATED BOX With Wooden Pallet,PCS
IC-1.ORF.CCFG.000121,HGIAUCB/CORRUGATED BOX With Wooden Pallet/ORBITOR PALLET,HGIAUCB,CORRUGATED BOX With Wooden Pallet,PCS
IC-1.ORF.CCFG.000122,HGIAUCB101/CORRUGATED BOX/1092 x 1010 x 980  Sleeve,HGIAUCB101,CORRUGATED BOX,PCS
IC-1.ORF.CCFG.000123,"HGIAUCB104/CORRUGATED BOX/ 1120x1040 , LID",HGIAUCB104,CORRUGATED BOX,PCS
IC-1.ORF.CCFG.000124,HGIAUCB109/CORRUGATED BOX/ 1092x1010x980,HGIAUCB109,CORRUGATED BOX,PCS
IC-1.RHPR.RHPR.000234,HDPE Paper / 1200 MM - 150 GSM (3 Layer),,HDPE Paper,KGS
IC-1.RHPR.RHPR.000235,HDPE Paper /1200 MM- 150 GSM (4 Layer),,HDPE Paper,KGS
IC-1.RHPR.RHPR.000236,HDPE Paper /36 INCH -100  Mtrs,,HDPE Paper,SQM
IC-1.RHPR.RHPR.000237,HDPE Paper /36 INCH -200 Mtrs,,HDPE Paper,SQM
IC-1.SLD.SDFGS.000238,"UNITEVP36/VCI HD PAPER_/ 36"" X 200 Mtr",UNITEVP36,VCI HD PAPER_,SQM
IC-1.SLD.SDFGS.000239,UNITEVP750/VCI HDPE PAPER/750 x 750 mm,UNITEVP750,VCI HDPE PAPER,PCS
IC-1.FGST.TGF.000240,"AMTEKHR60/HDPE TAPE/ 2"" X 60 Mtr",AMTEKHR60,HDPE TAPE,SQM
IC-1.FGST.TGF.000241,ARGLLHT/HDPE TAPE/GH,ARGLLHT,HDPE TAPE,ROLL
IC-1.FGST.TGF.000242,"DUROSHT65/HDPE TAPE/2"" 65 mtr",DUROSHT65,HDPE TAPE,ROLL
IC-1.FGST.TGF.000243,"INDICHT26/BROWN TAPE/2""*65 mtr",INDICHT26,BROWN TAPE,PCS
IC-1.FGST.TGF.000244,"INDICHT265/HDPE TAPE/2""*65 mtr",INDICHT265,HDPE TAPE,PCS
IC-1.FGST.TGF.000245,"OCAPCHP65/HDPE TAPE/Size :- 2"" X 65 Mtr",OCAPCHP65,HDPE TAPE,PCS
IC-1.FGST.TGF.000246,PRIMEHDR25/HDPE Roll/1.2 X 250 mtr 5rol,PRIMEHDR25,HDPE Roll,PCS
IC-1.FGST.TGF.000247,PVCLEHT65/HDPE TAPE,PVCLEHT65,HDPE TAPE,ROLL
IC-1.FGST.TGF.000248,"UNITECHT65/HDPE TAPE/ 2"" X 65 Mtr",UNITECHT65,HDPE TAPE,ROLL
IC-1.FGST.TGF.000249,VECOMHT17/HDPE TAPE/TAPE SPU 171 50 MTR(HDPE),VECOMHT17,HDPE TAPE,ROLL
IC-1.FGST.TGF.000250,VECOMHT50/HDPE TAPE,VECOMHT50,HDPE TAPE,ROLL
IC-1.FGST.TGF.000251,VECOMHT65/HDPE TAPE/Plain BOPP Tape 72mmx65 mtr,VECOMHT65,HDPE TAPE,PCS
IC-1.HCA.HCA.000252,Honey Comb Box/1750 x 750 x 980 mm,,Honey Comb Box,PCS
IC-1.HCA.HCA.000253,Honey Comb Box/1850 x 825 x 970 mm,,Honey Comb Box,PCS
IC-1.HCA.HCA.000254,Honey Comb Box/2150 x 950 x 1000 mm,,Honey Comb Box,PCS
IC-1.DIND.DIND.000340,VCI - Clay Desiccant /20 GRAMS,,VCI - Clay Desiccant,PCS
IC-1.DIND.DIND.000341,VCI - Clay Desiccant /50 GRAMS,,VCI - Clay Desiccant,PCS
IC-1.SLD.KDFGS.000342,AIRAEKP280/KRAFT PAPER/ 600mm x 280meters,AIRAEKP280,KRAFT PAPER,PCS
IC-1.SLD.KDFGS.000343,"JCBKP650/KRAFT PAPER/8"" x 650 Mtr",JCBKP650,KRAFT PAPER,PCS
IC-1.SLD.KDFGS.000344,SHREEKP600/KRAFT PAPER/ 600mm X 280mtr.,SHREEKP600,KRAFT PAPER,ROLL
IC-1.BLP.BLP.000345,LD 2D Bag/100 x 160 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000346,LD 2D Bag/100 x 250 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000347,LD 2D Bag/110 x 235 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000348,LD 2D Bag/12 x 15 Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000349,LD 2D Bag/120 x 450 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000350,LD 2D Bag/1400 x 1400 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000351,LD 2D Bag/150 x 160 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000352,LD 2D Bag/150 x 340 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000353,LD 2D Bag/170 x 180 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000354,LD 2D Bag/170 x 330 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000355,LD 2D Bag/170 x 680 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000356,LD 2D Bag/180 x 300 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000357,LD 2D Bag/190 x 260 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000358,LD 2D Bag/190 x 470 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000359,LD 2D Bag/210 x 350 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000360,LD 2D Bag/23 x 28 Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000361,LD 2D Bag/230 x 750 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000362,LD 2D Bag/250 x 350 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000363,LD 2D Bag/255 x 330 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000364,LD 2D Bag/26 x 15 Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000365,LD 2D Bag/260 x 420 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000366,LD 2D Bag/27 x 40 Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000367,LD 2D Bag/300 x 300 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000368,LD 2D Bag/300 x 400 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000369,LD 2D Bag/300 x 840 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000370,LD 2D Bag/360 x 390 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000371,LD 2D Bag/4 x 6 Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000372,LD 2D Bag/40 x 64 Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000373,LD 2D Bag/450 x 1000 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000374,LD 2D Bag/450 x 450 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000375,HONDALB450/LD Bag NATURAL/450 x 640 mm 60 MIC,HONDALB450,LD Bag NATURAL,PCS
IC-1.BLP.BLP.000376,LD 2D Bag/450 x 800 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000377,LD 2D Bag/455 x 420 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000378,LD 2D Bag/5 x 5 Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000379,LD 2D Bag/5 x 6 Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000380,LD 2D Bag/500 x 600 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000381,LD Bag NATURAL/500 x 700 mm 60 MIC,,LD Bag NATURAL,PCS
IC-1.BLP.BLP.000382,LD 2D Bag/550 x 700 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000383,LD 2D Bag/6 x 14 Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000384,LD 2D Bag/6 x 6 Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000385,LD 2D Bag/600 x 500 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000386,LD 2D Bag/600 x 700 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000387,LD 2D Bag/650 x 820 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000388,LD 2D Bag/680 x 750 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000389,LD 2D Bag/7 x 28 Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000390,LD 2D Bag/700 x 1400 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000391,LD 2D Bag/700 x 700 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000392,LD 2D Bag/710 x 1000 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000393,LD 2D Bag/710 x 900 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000394,LD 2D Bag/8.5 x 9.5 - Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000395,Propatech VCI 2D Bag/150 x 300 mm,,Propatech VCI 2D Bag,PCS
IC-1.BLP.BLP.000396,Propatech VCI 2D Bag/160 x 160 mm,,Propatech VCI 2D Bag,PCS
IC-1.BLP.BLP.000397,Propatech VCI 2D Bag/180 x 200 mm,,Propatech VCI 2D Bag,PCS
IC-1.BLP.BLP.000398,Propatech VCI 2D Bag/800 x 1200 mm,,Propatech VCI 2D Bag,PCS
IC-1.BLP.BLP.000399,Auto Bag/6 x 8 Inch,,Auto Bag,PCS
IC-1.BLP.BLP.000400,Gasset Bags/28 x 5 x 5 x 28 Inch,,Gasset Bags,PCS
IC-1.BLP.BLP.000401,LD 2D Bag/10 x 14 Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000402,LD 2D Bag/10 x 16 Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000403,LD 2D Bag/10 x 20 Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000404,LD 2D Bag/100 x 920 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000405,LD 2D Bag/12 x 14 Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000406,LD 2D Bag/12 x 16 Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000407,LD 2D Bag/12 x 20 Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000408,LD 2D Bag/12 x 24 Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000409,LD 2D Bag/12 x 25 Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000410,LD 2D Bag/12 x 32 Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000411,LD 2D Bag/130 x 170 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000412,LD 2D Bag/15 x 36 Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000413,LD 2D Bag/150 x 1000 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000414,LD 2D Bag/170 x 250 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000415,LD 2D Bag/18  x 18 INCH,,LD 2D Bag,PCS
IC-1.BLP.BLP.000416,LD 2D Bag/18 x 18 INCH,,LD 2D Bag,PCS
IC-1.BLP.BLP.000417,LD 2D Bag/18 x 26 Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000418,LD 2D Bag/190 x 230 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000419,LD 2D Bag/190 x 250 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000420,LD 2D Bag/190 x 490 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000421,LD 2D Bag/20 x 18 Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000422,LD 2D Bag/20 x 22 Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000423,LD 2D Bag/20 x 23 Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000424,LD 2D Bag/20 x 30 Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000425,LD 2D Bag/20 x 32 Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000426,LD 2D Bag/20 x 42 Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000427,LD 2D Bag/200 x 250 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000428,LD 2D Bag/24 x 28 Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000429,LD 2D Bag/24 x 36 Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000430,LD 2D Bag/250 x 340 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000431,LD 2D Bag/250 x 550 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000432,LD 2D Bag/28 x 28 Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000433,LD 2D Bag/3.6 x 4 Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000434,LD 2D Bag/300 x 370 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000435,LD 2D Bag/450 x 600 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000436,LD 2D Bag/5 x 12 Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000437,LD 2D Bag/5 x 16 Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000438,LD 2D Bag/6 x 8  Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000439,LD 2D Bag/60 x 200 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000440,LD 2D Bag/60 x 280 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000441,LD 2D Bag/60 x 402 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000442,LD 2D Bag/60 x 470 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000443,LD 2D Bag/600 x 400 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000444,LD 2D Bag/7 x 8 Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000445,LD 2D Bag/7 x 9 Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000446,LD 2D Bag/8 x 12 Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000447,LD 2D Bag/8 x 16 Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000448,LD 2D Bag/80 x 1200 mm,,LD 2D Bag,PCS
IC-1.BLP.BLP.000449,LD 2D Bag/9 x 12 Inch,,LD 2D Bag,PCS
IC-1.BLP.BLP.000450,Zipper Bag/4 x 6.5 Inch,,Zipper Bag,PCS
IC-1.BLP.BLP.000451,Zipper Bag/8 x 10 Inch,,Zipper Bag,KGS
IC-1.BLP.BLP.000452,Zipper Bag/9 x 12 Inch,,Zipper Bag,KGS
IC-1.BLP.BLP.000453,Zipper Pouch/100 x 255 mm,,Zipper Pouch,PCS
IC-1.BLP.BLP.000454,Zipper Pouch/155 x 165 mm,,Zipper Pouch,KGS
IC-1.BLP.BLP.000455,Zipper Pouch/70 x 255 mm,,Zipper Pouch,KGS
IC-1.BBV.BBV.000456,LD 2D Bag/10 x 12 Inch,,LD 2D Bag,PCS
IC-1.BBV.BBV.000457,LD 2D Bag/10 x 13 Inch,,LD 2D Bag,PCS
IC-1.BBV.BBV.000458,LD 2D Bag/110 x 1050 - mm,,LD 2D Bag,PCS
IC-1.BBV.BBV.000459,LD 2D Bag/110 x 440 mm,,LD 2D Bag,PCS
IC-1.BBV.BBV.000460,LD 2D Bag/130 x 190 mm,,LD 2D Bag,PCS
IC-1.BBV.BBV.000461,LD 2D Bag/135 x 290 mm,,LD 2D Bag,PCS
IC-1.BBV.BBV.000462,LD 2D Bag/18 x 18INCH,,LD 2D Bag,PCS
IC-1.BBV.BBV.000463,LD 2D Bag/18 x 24 Inch,,LD 2D Bag,PCS
IC-1.BBV.BBV.000464,LD 2D Bag/18 x 36 Inch,,LD 2D Bag,PCS
IC-1.BBV.BBV.000465,LD 2D Bag/2.5 x 3.5 Inch,,LD 2D Bag,PCS
IC-1.BBV.BBV.000466,LD 2D Bag/230 x 230 mm,,LD 2D Bag,PCS
IC-1.BBV.BBV.000467,LD 2D Bag/300 x 500 mm,,LD 2D Bag,PCS
IC-1.BBV.BBV.000468,LD 2D Bag/400 x 500 mm,,LD 2D Bag,PCS
IC-1.BBV.BBV.000469,LD 2D Bag/5 x 7 Inch,,LD 2D Bag,PCS
IC-1.BBV.BBV.000470,LD 2D Bag/55 x 95 mm,,LD 2D Bag,PCS
IC-1.BBV.BBV.000471,LD 2D Bag/6 x 8   Inch,,LD 2D Bag,PCS
IC-1.BBV.BBV.000472,LD 2D Bag/6 x 8 Inch,,LD 2D Bag,PCS
IC-1.BBV.BBV.000473,LD 2D Bag/8 x 10 Inch,,LD 2D Bag,PCS
IC-1.BBV.BBV.000474,LD 2D Bag/95 x 165 mm,,LD 2D Bag,PCS
IC-1.BBV.BBV.000475,Damper Pouch/7 x 7.5 Inch,,Damper Pouch,KGS
IC-1.BBV.BBV.000476,LD 2D Bag/200 x 200 mm,,LD 2D Bag,PCS
IC-1.BBV.BBV.000477,LD 2D Bag/300 x 335 mm,,LD 2D Bag,PCS
IC-1.BBV.BBV.000478,LD 2D Bag/300 x 385 mm,,LD 2D Bag,PCS
IC-1.BBV.BBV.000479,LD 2D Bag/300 x 385MM,,LD 2D Bag,PCS
IC-1.BBV.BBV.000480,LD 2D Bag/4.5 x 12 Inch,,LD 2D Bag,PCS
IC-1.BBV.BBV.000481,LD 2D Bag/4.5 x 19 Inch,,LD 2D Bag,PCS
IC-1.BBV.BBV.000482,LD 2D Bag/4.5 x 7 Inch,,LD 2D Bag,PCS
IC-1.BBV.BBV.000483,LD 2D Bag/4.5 x 9 Inch,,LD 2D Bag,PCS
IC-1.BBV.BBV.000484,LD 2D Bag/12 x 21 Inch,,LD 2D Bag,PCS
IC-1.BBV.BBV.000485,LD 2D Bag/12 x 23 Inch,,LD 2D Bag,PCS
IC-1.BBV.BBV.000486,LD 2D Bag/15 x 21 Inch,,LD 2D Bag,PCS
IC-1.BBV.BBV.000487,LD 2D Bag/18 X 30 Inch,,LD 2D Bag,PCS
IC-1.BBV.BBV.000488,LD 2D Bag/25 x 46 Inch,,LD 2D Bag,PCS
IC-1.BBV.BBV.000489,LD 2D Bag/3 x 5 Inch,,LD 2D Bag,PCS
IC-1.BBV.BBV.000490,LD 2D Bag/46 x 64 Inch,,LD 2D Bag,PCS
IC-1.BBV.BBV.000491,LD 2D Bag/6 Inch,,LD 2D Bag,PCS
IC-1.BBV.BBV.000492,LD 2D Bag/6 x  8 Inch,,LD 2D Bag,PCS
IC-1.BBV.BBV.000493,LD 2D Bag/8 Inch,,LD 2D Bag,PCS
IC-1.BBV.BBV.000494,LD 2D Bag Printed/10 X 16 Inch,,LD 2D Bag Printed,PCS
IC-1.BBV.BBV.000495,LD 2D Bag Printed/10 X 22 Inch,,LD 2D Bag Printed,PCS
IC-1.BBV.BBV.000496,LD 2D Bag Printed/13 X 16 Inch,,LD 2D Bag Printed,PCS
IC-1.BBV.BBV.000497,LD 2D Bag Printed/13 X 22 Inch,,LD 2D Bag Printed,PCS
IC-1.BBV.BBV.000498,LD 2D Bag Printed/16 X 22 Inch,,LD 2D Bag Printed,PCS
IC-1.BBV.BBV.000499,LD 2D Bag Printed/4 X 5 Inch,,LD 2D Bag Printed,PCS
IC-1.BBV.BBV.000500,LD 2D Bag Printed/5 X 22 Inch,,LD 2D Bag Printed,PCS
IC-1.BBV.BBV.000501,LD 2D Bag Printed/5 X 32 Inch,,LD 2D Bag Printed,PCS
IC-1.BBV.BBV.000502,LD 2D Bag Printed/5 X 45 Inch,,LD 2D Bag Printed,PCS
IC-1.BBV.BBV.000503,LD 2D Bag Printed/5 X 6 Inch,,LD 2D Bag Printed,PCS
IC-1.BBV.BBV.000504,LD 2D Bag Printed/6 X 8 Inch,,LD 2D Bag Printed,PCS
IC-1.BBV.BBV.000505,LD 2D Bag Printed/7 X 26 Inch,,LD 2D Bag Printed,PCS
IC-1.BBV.BBV.000506,LD 2D Bag Printed/7 X 9 Inch,,LD 2D Bag Printed,PCS
IC-1.BBV.BBV.000507,LD 2D Bag Printed/8 X 13 Inch,,LD 2D Bag Printed,PCS
IC-1.SLD.LDBFG.000508,AMALGLB46/LD BAG/4 X 6 INCH,AMALGLB46,LD BAG,PCS
IC-1.SLD.LDBFG.000509,AMALGLB69/LD BAG/6 X 9 INCH,AMALGLB69,LD BAG,PCS
IC-1.SLD.LDBFG.000510,ASPSELB/LD BAG,ASPSELB,LD BAG,KGS
IC-1.SLD.LDBFG.000511,AVGOLLB100/LD BAG/1000 X 1000 X 1000 mm,AVGOLLB100,LD BAG,PCS
IC-1.SLD.LDBFG.000512,BALAJLB34/LD BAG / 34 X 47 X 26,BALAJLB34,LD BAG,PCS
IC-1.SLD.LDBFG.000513,BALAJLB45/LD BAG / 45 X 45 X 30,BALAJLB45,LD BAG,PCS
IC-1.SLD.LDBFG.000514,BALAJLB47/LD BAG / 47 X 33 X 55,BALAJLB47,LD BAG,PCS
IC-1.SLD.LDBFG.000515,BANCOLB190/LD BAG/190 X 490 X 75,BANCOLB190,LD BAG,PCS
IC-1.SLD.LDBFG.000516,BSCORLB45/LD BAG / 4 X 5 Inches,BSCORLB45,LD BAG,PCS
IC-1.SLD.LDBFG.000517,BSCORLB46/LD BAG / 4 X 6 Inches,BSCORLB46,LD BAG,PCS
IC-1.SLD.LDBFG.000518,BSCORLB57/LD BAG / 5 x 7 Inches,BSCORLB57,LD BAG,PCS
IC-1.SLD.LDBFG.000519,BSCORLB69/LD BAG / 6 x 9 Inches,BSCORLB69,LD BAG,PCS
IC-1.SLD.LDBFG.000520,CASTELB16/LD BAG/12 X 16,CASTELB16,LD BAG,PCS
IC-1.SLD.LDBFG.000521,CASTELB20/LD BAG/12 X 20,CASTELB20,LD BAG,PCS
IC-1.SLD.LDBFG.000522,CASTELB22/LD BAG/12 X 22,CASTELB22,LD BAG,PCS
IC-1.SLD.LDBFG.000523,"CLAASLB15/LD BAG / 1550 X 620 X 260 - 0,2MM THICK",CLAASLB15,LD BAG,MTR
IC-1.SLD.LDBFG.000524,CLAASLB17/LD BAG / 1778 x 762 x 508,CLAASLB17,LD BAG,PCS
IC-1.SLD.LDBFG.000525,"CLAASLB18/LD BAG/1850 X 850 X 525 - 0,2MM THICK",CLAASLB18,LD BAG,PCS
IC-1.SLD.LDBFG.000526,CONTILB72/LD BAG/7 X 26 mm,CONTILB72,LD BAG,PCS
IC-1.SLD.LDBFG.000527,DAIDOLB95/LD BAG / 95 X 125,DAIDOLB95,LD BAG,KGS
IC-1.SLD.LDBFG.000528,DGSENLB50/LD BAG / 500 X 480,DGSENLB50,LD BAG,KGS
IC-1.SLD.LDBFG.000529,EMMFOLB22/LD BAG/40 X 40 X 22,EMMFOLB22,LD BAG,PCS
IC-1.SLD.LDBFG.000530,EMMFOLB28/LD BAG/40 X 40 X 28,EMMFOLB28,LD BAG,PCS
IC-1.SLD.LDBFG.000531,EMMFOLB36/LD BAG/38 X 38 X 36,EMMFOLB36,LD BAG,PCS
IC-1.SLD.LDBFG.000532,EXCELLB11/LD BAG /11 X 13,EXCELLB11,LD BAG,PCS
IC-1.SLD.LDBFG.000533,EXCELLB13/LD BAG/13 X 22 inch,EXCELLB13,LD BAG,PCS
IC-1.SLD.LDBFG.000534,EXCELLB56/LD BAG/5 X 6 inch,EXCELLB56,LD BAG,PCS
IC-1.SLD.LDBFG.000535,EXCELLB81/LD BAG/8 X 13 inch,EXCELLB81,LD BAG,PCS
IC-1.SLD.LDBFG.000536,"EYEMYLB38/LD BAG / 3 X 8""",EYEMYLB38,LD BAG,PCS
IC-1.SLD.LDBFG.000537,"GATESLB10/LD BAG /10 X 12""",GATESLB10,LD BAG,PCS
IC-1.SLD.LDBFG.000538,GOODWLB11/LD BAG/5 X 6  POLY,GOODWLB11,LD BAG,PCS
IC-1.SLD.LDBFG.000539,GOODWLB56/LD BAG / 7 X 9,GOODWLB56,LD BAG,PCS
IC-1.SLD.LDBFG.000540,HILEXLB30/LD BAG/300 X 500 mm,HILEXLB30,LD BAG,PCS
IC-1.SLD.LDBFG.000541,HOLISLB11/LD BAG /112 x 45 x 55 Inches,HOLISLB11,LD BAG,PCS
IC-1.SLD.LDBFG.000542,HONDALB160/LD BAG/1600 X 610 X 900 MM 55 MIC,HONDALB160,LD BAG,PCS
IC-1.SLD.LDBFG.000543,HONDALB174/LD BAG/1740 X 1150 X 950 MM 55 MIC,HONDALB174,LD BAG,PCS
IC-1.SLD.LDBFG.000544,HONDALB190/LD BAG/1905 X 737 X 1143 MM 55 MIC,HONDALB190,LD BAG,PCS
IC-1.SLD.LDBFG.000545,HONDALB192/LD BAG/1920 X 700 X 1200 55 MIC,HONDALB192,LD BAG,PCS
IC-1.SLD.LDBFG.000546,HONDALB224/LD BAG/2240 X 1140 X 900 MM,HONDALB224,LD BAG,PCS
IC-1.SLD.LDBFG.000547,HONDALB226/LD BAG/2265 X 1130 X 1960 MM,HONDALB226,LD BAG,PCS
IC-1.SLD.LDBFG.000548,HONDALB230/LD BAG/2300 X 1250 X 1800 MM 55 MIC,HONDALB230,LD BAG,PCS
IC-1.SLD.LDBFG.000549,HONDALB60/LD BAG/600 X 500 X 450 mm,HONDALB60,LD BAG,PCS
IC-1.SLD.LDBFG.000550,HONDALB61/LD BAG,HONDALB61,LD BAG,KGS
IC-1.SLD.LDBFG.000551,"INDICLB56/LD BAG / 5 X 6 Inches, 70 Micron",INDICLB56,LD BAG,PCS
IC-1.SLD.LDBFG.000552,"INDICLB78/LD BAG / 7 X 8 Inches, 70 Micron",INDICLB78,LD BAG,PCS
