ITEMCODE,ITEMNAME,IT_PARTNO,IT_PARTNAME,UOM
IC-1.TAPE.TAPE.005056,"CLEANABLE TAPE PRINTED /2""",,CLEANABLE TAPE PRINTED,ROLL
IC-1.VBDS.VBDS.005057,GINDRVB66/VCI Bag/6 X 6 Inch SFG,GINDRVB66,VCI Bag,PCS
IC-1.VBDS.VBDS.005058,SHOWAVB40/VCI Bag/40 X 40 X 20 SFG,SHOWAVB40,VCI Bag,PCS
IC-1.VBDS.VBDS.005059,SHOWAVB66/VCI Bag/40 X 66 X 24 SFG,SHOWAVB66,VCI Bag,PCS
IC-1.VBDS.VBDS.005060,HEFDUVB10/VCI Bag/875 X 1000 X 1000MM. SFG,HEFDUVB10,VCI Bag,PCS
IC-1.VBDS.VBDS.005061,HEFDUVB100/VCI Bag/875 X 1000 X 875MM SFG,HEFDUVB100,VCI Bag,PCS
IC-1.VBDS.VBDS.005062,"HEFDUVB25/VCI Bag/250 X 295 X 90 mm, 100 Micron SFG",HEFDUVB25,VCI Bag,PCS
IC-1.VBDS.VBDS.005063,HEFDUVB27/VCI Bag/300 X 250 X 275MM SFG,HEFDUVB27,VCI Bag,PCS
IC-1.VBDS.VBDS.005064,HEFDUVB43/VCI Bag/430 X 500 X 500MM SFG,HEFDUVB43,VCI Bag,PCS
IC-1.VBDS.VBDS.005065,HEFDUVB87/VCI Bag/875 X 500 X 775 MM . SFG,HEFDUVB87,VCI Bag,PCS
IC-1.VBDS.VBDS.005066,TALBRVB151/VCI Bag/15 X 10 X 11 INCH SFG,TALBRVB151,VCI Bag,PCS
IC-1.VBDS.VBDS.005132,ARGLVB820/VCI Bag/820 X 820 X 730 SFG,ARGLVB820,VCI Bag,PCS
IC-1.VBDS.VBDS.005133,ARGLVB895/VCI Bag/895 X 895 X 918 SFG,ARGLVB895,VCI Bag,PCS
IC-1.VBDS.VBDS.005134,ARGLVB924/VCI Bag/924 X 924 X 901 SFG,ARGLVB924,VCI Bag,PCS
IC-1.VBDS.VBDS.005135,ARGLVB929/VCI Bag/929 X 929 X 695 SFG,ARGLVB929,VCI Bag,PCS
IC-1.VBDS.VBDS.005136,ARGLVB950/VCI Bag/950 X 950 X 933 SFG,ARGLVB950,VCI Bag,PCS
IC-1.VBDS.VBDS.005137,SIGMAVB11/VCI Bag/9 X 11 SFG,SIGMAVB11,VCI Bag,PCS
IC-1.VBDS.VBDS.005138,SIGMAVB12/VCI Bag/125 X 300 X 250 SFG,SIGMAVB12,VCI Bag,PCS
IC-1.VBDS.VBDS.005139,SIGMAVB35/VCI Bag/350 X 300 X 500 SFG,SIGMAVB35,VCI Bag,PCS
IC-1.VBDS.VBDS.005140,SIGMAVB39/VCI Bag/39 X 46 X 26 INCH SFG,SIGMAVB39,VCI Bag,PCS
IC-1.VBDS.VBDS.005141,INDIAVB100/VCI Bag/125 X 100 mm SFG,INDIAVB100,VCI Bag,PCS
IC-1.VBDS.VBDS.005142,INDIAVB125/VCI Bag/150 X 125 mm SFG,INDIAVB125,VCI Bag,PCS
IC-1.VBDS.VBDS.005143,INDIAVB14/VCI Bag/700 X 1400 mm SFG,INDIAVB14,VCI Bag,PCS
IC-1.VBDS.VBDS.005145,INDIAVB150/VCI Bag/100 X 150 mm SFG,INDIAVB150,VCI Bag,PCS
IC-1.VBDS.VBDS.005146,INDIAVB200/VCI Bag/150 X 200 mm SFG,INDIAVB200,VCI Bag,PCS
IC-1.VBDS.VBDS.005147,ARKEYVB9/VCI Bag/9 X 9 X 6 Inch SFG,ARKEYVB9,VCI Bag,PCS
IC-1.VBDS.VBDS.005148,ARVINDVB/VCI Bag/6 X 5 INCH SFG,ARVINDVB,VCI Bag,PCS
IC-1.VBDS.VBDS.005149,ASHVB14/VCI Bag/14 X 40 IN SFG,ASHVB14,VCI Bag,PCS
IC-1.VBDS.VBDS.005150,ASHVB48/VCI Bag/48 X 48 X 58 IN SFG,ASHVB48,VCI Bag,PCS
IC-1.VBDS.VBDS.005151,ASHVB9/VCI Bag/9 X 30 IN SFG,ASHVB9,VCI Bag,PCS
IC-1.VBDS.VBDS.005153,BAJAJVB115/VCI Bag/1150 X 750 X 750 MM SFG,BAJAJVB115,VCI Bag,PCS
IC-1.VBDS.VBDS.004842,"RANEMVB10/VCI Bag/100 X 500 , 80 Mic. SFG",RANEMVB10,VCI Bag,PCS
IC-1.VBDS.VBDS.004843,RANEMVB11/VCI Bag/1150 x 1410 x 1800 SFG,RANEMVB11,VCI Bag,PCS
